,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,class
29,I Like It,Invasion of Privacy,Cardi B,94,0.816,0.099,0.726,0,0.372,-3.998,0.129,136.048,0
30,No Stylist,No Stylist,French Montana,91,0.765,0.0215,0.704,0,0.227,-4.589,0.127,147.055,1
31,Leave Me Alone,Leave Me Alone,Flipp Dinero,88,0.792,0.107,0.743,0,0.183,-2.806,0.0851,150.024,0
32,Jocelyn Flores,17,XXXTENTACION,93,0.872,0.469,0.391,4.13E-06,0.297,-9.144,0.242,134.021,1
33,New Patek,New Patek,Lil Uzi Vert,89,0.85,0.0367,0.785,0,0.155,-4.963,0.345,145.063,1
34,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",STAY DANGEROUS,YG,87,0.745,0.00552,0.346,0,0.0881,-7.709,0.331,203.911,1
35,STOOPID,STOOPID,6ix9ine,90,0.733,0.13,0.63,0,0.162,-4.296,0.395,149.989,0
36,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,97,0.56,0.555,0.68,0,0.116,-7.648,0.321,89.391,0
37,Fuck Love (feat. Trippie Redd),17,XXXTENTACION,90,0.797,0.0172,0.533,0.000152,0.103,-9.74,0.0412,131.036,1
38,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,88,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,1
39,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,92,0.587,0.117,0.535,6.56E-05,0.131,-6.09,0.0898,159.847,0
40,Mona Lisa (feat. Kendrick Lamar),Tha Carter V,Lil Wayne,91,0.855,0.371,0.694,0,0.109,-4.393,0.169,122.078,1
41,changes,?,XXXTENTACION,91,0.669,0.883,0.308,0,0.0984,-10.068,0.029,64.934,1
42,God's Plan,Scorpion,Drake,92,0.754,0.0332,0.449,8.29E-05,0.552,-9.211,0.109,77.169,1
43,Suncity (feat. Empress Of),Suncity,Khalid,79,0.694,0.0998,0.63,0.000635,0.12,-6.84,0.162,90.045,0
44,Psycho (feat. Ty Dolla $ign),beerbongs & bentleys,Post Malone,91,0.739,0.58,0.559,0,0.112,-8.011,0.117,140.124,1
45,Lean Wit Me,Goodbye & Good Riddance,Juice WRLD,88,0.665,0.0414,0.651,0,0.0896,-5.515,0.156,163.935,0
46,Hard Work Pays Off,Future & Juice WRLD Present... WRLD ON DRUGS,Future,81,0.736,0.327,0.482,0,0.229,-8.242,0.196,140.064,0
47,SLOW DANCING IN THE DARK,BALLADS 1,Joji,66,0.515,0.544,0.479,0.00598,0.191,-7.458,0.0261,88.964,0
48,Topanga,Topanga,Trippie Redd,79,0.755,0.00587,0.615,1.75E-06,0.109,-8.245,0.0454,105.955,0
49,Kiss and Make Up,Dua Lipa (Complete Edition),Dua Lipa,48,0.678,0.0658,0.729,0,0.303,-4.188,0.137,99.895,0
50,Lucky You (feat. Joyner Lucas),Kamikaze,Eminem,94,0.876,0.0627,0.786,0,0.127,-4.884,0.306,153.068,1
51,Trip,Ella Mai,Ella Mai,84,0.477,0.225,0.61,0,0.107,-5.628,0.144,79.882,1
52,I Fall Apart,Stoney (Deluxe),Post Malone,88,0.556,0.0689,0.538,0,0.196,-5.408,0.0382,143.95,1
53,Last Memory,Last Memory,Takeoff,72,0.853,0.179,0.696,0,0.286,-6.179,0.246,118.001,1
54,Uproar,Tha Carter V,Lil Wayne,87,0.743,0.0595,0.87,0,0.299,-2.188,0.212,99.075,1
55,WORKIN ME,QUAVO HUNCHO,Quavo,75,0.792,0.205,0.657,4.10E-06,0.196,-4.245,0.191,169.969,0
56,REEL IT IN,ONEPOINTFIVE,Aminé,87,0.754,0.073,0.342,0,0.193,-8.677,0.0991,128.981,0
57,Woman Like Me (feat. Nicki Minaj),Woman Like Me (feat. Nicki Minaj),Little Mix,88,0.757,0.173,0.849,0,0.0878,-3.424,0.0536,150.036,0
58,Youngblood,Youngblood (Deluxe),5 Seconds of Summer,88,0.596,0.0169,0.854,0,0.124,-5.114,0.463,120.274,0
59,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),Bazzi,93,0.638,0.346,0.717,0,0.105,-4.722,0.0337,100.027,0
60,Look Alive (feat. Drake),Look Alive (feat. Drake),BlocBoy JB,88,0.922,0.00104,0.581,5.86E-05,0.105,-7.495,0.27,140.022,1
61,Girls Like You (feat. Cardi B),Red Pill Blues (Deluxe),Maroon 5,87,0.851,0.568,0.541,0,0.13,-6.825,0.0505,124.959,0
62,lovely (with Khalid),lovely (with Khalid),Billie Eilish,90,0.351,0.934,0.296,0,0.095,-10.109,0.0333,115.284,0
63,Nice For What,Scorpion,Drake,89,0.586,0.0891,0.909,0.000109,0.119,-6.474,0.0705,93.394,1
64,STARGAZING,ASTROWORLD,Travis Scott,90,0.487,0.00947,0.789,4.05E-06,0.189,-3.69,0.044,150.007,1
65,This Feeling,Sick Boy...This Feeling,The Chainsmokers,92,0.575,0.0558,0.571,0,0.0912,-7.906,0.0439,105.049,0
66,Everybody Dies In Their Nightmares,17,XXXTENTACION,89,0.734,0.847,0.57,2.14E-05,0.112,-7.066,0.133,129.953,0
67,Saturday Nights,Suncity,Khalid,68,0.54,0.635,0.439,1.93E-05,0.0993,-8.591,0.115,167.908,0
68,High Hopes,Pray For The Wicked,Panic! At The Disco,91,0.579,0.193,0.904,0,0.064,-2.729,0.0618,82.014,0
69,Wasted (feat. Lil Uzi Vert),Goodbye & Good Riddance,Juice WRLD,80,0.742,0.0381,0.579,0,0.0952,-5.024,0.202,144.994,0
70,YOSEMITE,ASTROWORLD,Travis Scott,87,0.785,0.283,0.554,3.40E-06,0.116,-6.571,0.0409,128.047,0
71,Ric Flair Drip (& Metro Boomin),Without Warning,21 Savage,86,0.88,0.149,0.428,5.07E-05,0.114,-8.28,0.206,100.007,1
72,XO TOUR Llif3,Luv Is Rage 2,Lil Uzi Vert,88,0.732,0.00264,0.75,0,0.109,-6.366,0.231,155.096,1
73,Natural,Natural,Imagine Dragons,94,0.448,0.216,0.612,0,0.08,-6.106,0.0708,97.773,0
74,Te Boté - Remix,Te Boté (Remix),Nio Garcia,93,0.903,0.542,0.675,1.28E-05,0.0595,-3.445,0.214,96.507,0
75,God is a woman,Sweetener,Ariana Grande,92,0.602,0.0233,0.658,6.00E-05,0.237,-5.934,0.0558,145.031,0
76,Look At Me!,Revenge,XXXTENTACION,81,0.763,0.259,0.726,0,0.0976,-6.405,0.282,139.059,0
77,Love Lies (with Normani),Love Lies (with Normani),Khalid,88,0.708,0.0956,0.648,0,0.134,-5.626,0.0449,143.955,0
78,Hope,?,XXXTENTACION,87,0.592,0.661,0.457,0.000331,0.146,-6.081,0.0603,146.04,0
79,Waste It On Me (feat. BTS),Waste It On Me (feat. BTS),Steve Aoki,82,0.669,0.252,0.684,0,0.72,-4.595,0.0585,96.097,0
80,Plug Walk,The World Is Yours,Rich The Kid,86,0.876,0.202,0.519,0,0.108,-6.531,0.143,94.981,0
81,Always Remember Us This Way,A Star Is Born Soundtrack (Without Dialogue),Lady Gaga,83,0.553,0.299,0.502,0,0.764,-5.972,0.0409,129.976,0
82,Close To Me (feat. Swae Lee),Close To Me (feat. Swae Lee),Ellie Goulding,76,0.574,0.0969,0.758,0,0.395,-5.029,0.0621,144.111,0
83,MiAMi (feat. Gunna),LoVE me NOw,Tory Lanez,64,0.682,0.0196,0.861,0,0.114,-3.336,0.234,160.052,0
84,Close Friends (Lil Baby & Gunna),Drip Harder,Lil Baby,83,0.665,0.044,0.585,0,0.0789,-5.077,0.366,158.953,0
85,Congratulations,Stoney (Deluxe),Post Malone,87,0.63,0.215,0.804,0,0.253,-4.183,0.0363,123.146,0
86,Thriller,Thriller 25 Super Deluxe Edition,Michael Jackson,66,0.773,0.0855,0.859,0.00018,0.914,-4.913,0.0747,118.458,0
87,Sweet but Psycho,Sweet but Psycho,Ava Max,90,0.719,0.0691,0.704,0,0.166,-4.724,0.0476,133.002,0
88,Kamikaze,Northsbest,Lil Mosey,78,0.796,0.329,0.565,0,0.102,-7.631,0.128,100.003,0
89,no tears left to cry,Sweetener,Ariana Grande,91,0.699,0.04,0.713,3.11E-06,0.294,-5.507,0.0594,121.993,0
90,the remedy for a broken heart (why am I so in love),?,XXXTENTACION,87,0.699,0.779,0.304,0.000993,0.137,-11.192,0.0993,119.705,0
91,breathin,Sweetener,Ariana Grande,92,0.568,0.0211,0.656,1.37E-05,0.213,-5.413,0.0433,100.049,0
92,Get Dripped (feat. Playboi Carti),Nuthin' 2 Prove,Lil Yachty,80,0.955,0.0987,0.492,0,0.417,-8.444,0.395,130.062,0
93,Killshot,Killshot,Eminem,90,0.892,0.0989,0.651,0,0.371,-8.645,0.378,105.814,0
94,Lust,Life of a Dark Rose,Lil Skies,85,0.718,0.138,0.767,0,0.114,-5.641,0.166,160.084,0
95,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,86,0.841,0.0847,0.728,0,0.149,-3.37,0.0484,130.049,1
96,FeRRis WhEEL (feat. Trippie Redd),LoVE me NOw,Tory Lanez,68,0.794,0.0952,0.598,0,0.166,-5.042,0.3,94.984,0
97,Shake It Up,LIFE'S A TRIP,Trippie Redd,83,0.776,0.128,0.608,0,0.0932,-6.478,0.104,156.025,0
98,YEAH RIGHT,BALLADS 1,Joji,65,0.672,0.619,0.588,0.241,0.0992,-9.573,0.133,169.033,0
