id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,class
31,Love Now,Motion,Calvin Harris,31-10-2014,218373,54,0.733,0.0207,0.674,0.173,0.0701,-4.441,0.0316,128.03,4,1
32,Awooga,18 Months,Calvin Harris,26-10-2012,231240,47,0.514,0.000999,0.987,0.935,0.343,-3.402,0.0592,125.956,4,1
33,Nuh Ready Nuh Ready,Nuh Ready Nuh Ready,Calvin Harris,08-02-2018,184172,64,0.754,0.063,0.779,2.81E-05,0.0758,-3.288,0.0387,116.003,4,1
34,Dollar Signs,Motion,Calvin Harris,31-10-2014,236066,51,0.755,0.367,0.897,0.00215,0.358,-2.269,0.0329,128,4,1
35,Slow Acid,Motion,Calvin Harris,31-10-2014,221786,53,0.664,0.545,0.935,0.855,0.176,-4.322,0.039,104.004,4,1
36,Overdrive,Motion,Calvin Harris,31-10-2014,291960,51,0.631,0.0287,0.945,0.913,0.967,-3.674,0.04,127.983,4,1
37,It Was You,Motion,Calvin Harris,31-10-2014,224386,51,0.701,0.283,0.985,0.281,0.617,-4.325,0.0675,127.974,4,1
38,Mansion,18 Months,Calvin Harris,26-10-2012,127733,46,0.807,0.000594,0.793,0.845,0.918,-5.398,0.101,112.017,4,1
39,Iron,18 Months,Calvin Harris,26-10-2012,219653,50,0.546,0.00139,0.887,0.0424,0.606,-4.694,0.0799,125.983,4,1
40,Together,Motion,Calvin Harris,31-10-2014,218440,52,0.731,0.145,0.869,0.000185,0.116,-2.634,0.0409,127.971,4,1
41,Stars Come Out,Ready For The Weekend,Calvin Harris,14-08-2009,267733,32,0.683,0.0256,0.867,0.00208,0.158,-5.162,0.0423,130.032,4,1
42,Cash Out,Funk Wav Bounces Vol.1,Calvin Harris,30-06-2017,235973,63,0.722,0.152,0.79,0,0.0349,-4.867,0.241,94.965,4,1
43,Heatstroke,Funk Wav Bounces Vol.1,Calvin Harris,30-06-2017,229160,63,0.784,0.34,0.728,0,0.222,-4.549,0.0539,110.165,4,1
44,Prayers Up,Funk Wav Bounces Vol.1,Calvin Harris,30-06-2017,204280,63,0.821,0.433,0.637,0,0.209,-4.276,0.161,86.01,4,1
45,Holiday,Funk Wav Bounces Vol.1,Calvin Harris,30-06-2017,169693,60,0.836,0.472,0.769,0.00157,0.0804,-2.334,0.0773,103.991,4,1
46,Skrt On Me,Funk Wav Bounces Vol.1,Calvin Harris,30-06-2017,228266,61,0.713,0.169,0.889,5.80E-05,0.169,-3.87,0.0376,101.977,4,1
47,Faking It,Funk Wav Bounces Vol.1,Calvin Harris,30-06-2017,240093,69,0.776,0.319,0.589,0,0.0715,-4.543,0.115,120.034,4,1
48,Hard to Love,Funk Wav Bounces Vol.1,Calvin Harris,30-06-2017,230586,64,0.753,0.112,0.785,0.000191,0.0633,-6.53,0.174,148.015,4,1
